Age,Job,Marital,Education,Housing,Loan,Contact,Duration,Success
49,technician,married,basic.9y,no,no,telephone,1467,yes
34,admin.,married,high.school,yes,no,telephone,188,no
35,admin.,married,university.degree,yes,no,telephone,180,no
57,unknown,married,unknown,yes,no,telephone,48,no
60,admin.,married,unknown,no,yes,telephone,213,no
33,unemployed,married,basic.9y,no,no,telephone,545,no
42,blue-collar,married,basic.6y,no,yes,telephone,583,no
45,services,married,professional.course,yes,no,telephone,221,no
42,management,married,university.degree,no,no,telephone,426,no
53,admin.,divorced,university.degree,no,no,telephone,287,no
37,technician,single,professional.course,no,no,telephone,197,no
44,blue-collar,married,basic.6y,no,no,telephone,257,no
54,services,married,unknown,yes,no,telephone,229,no
49,blue-collar,married,basic.4y,no,no,telephone,55,no
54,services,married,unknown,no,no,telephone,400,no
52,admin.,divorced,university.degree,no,no,telephone,197,no
52,admin.,divorced,university.degree,no,no,telephone,190,no
43,services,single,high.school,no,no,telephone,21,no
34,housemaid,married,basic.6y,yes,no,telephone,300,no
35,admin.,married,high.school,yes,no,telephone,123,no
42,entrepreneur,married,unknown,yes,no,telephone,293,no
43,technician,married,unknown,yes,yes,telephone,325,no
60,retired,divorced,university.degree,no,no,telephone,514,no
58,unemployed,married,basic.4y,no,no,telephone,849,no
35,services,divorced,high.school,yes,no,telephone,194,no
55,blue-collar,married,basic.9y,yes,no,telephone,212,no
37,management,married,university.degree,no,no,telephone,337,no
36,blue-collar,married,high.school,no,no,telephone,286,no
52,admin.,divorced,university.degree,no,no,telephone,247,no
57,blue-collar,divorced,unknown,yes,no,telephone,518,no
56,admin.,married,unknown,yes,no,telephone,364,no
48,blue-collar,divorced,basic.4y,yes,no,telephone,178,no
40,blue-collar,married,high.school,yes,no,telephone,98,no
49,blue-collar,divorced,high.school,no,no,telephone,439,no
41,services,married,high.school,no,no,telephone,139,no
45,technician,married,high.school,yes,no,telephone,79,no
32,admin.,married,university.degree,yes,yes,telephone,175,no
42,admin.,married,university.degree,no,yes,telephone,262,no
50,admin.,married,basic.6y,no,no,telephone,61,no
31,technician,divorced,professional.course,yes,yes,telephone,78,no
56,retired,married,basic.4y,yes,no,telephone,102,no
41,technician,married,professional.course,yes,no,telephone,579,yes
37,blue-collar,married,basic.6y,yes,yes,telephone,143,no
41,technician,married,professional.course,no,no,telephone,677,no
35,blue-collar,married,unknown,yes,no,telephone,267,no
37,blue-collar,married,basic.6y,yes,no,telephone,345,no
52,management,married,university.degree,no,no,telephone,185,no
39,management,divorced,university.degree,no,no,telephone,207,no
39,housemaid,married,basic.4y,no,no,telephone,69,no
56,blue-collar,married,basic.4y,no,no,telephone,100,no
34,services,married,high.school,yes,no,telephone,125,no
43,unemployed,single,university.degree,yes,no,telephone,240,no
56,management,married,unknown,yes,no,telephone,70,no
39,management,married,university.degree,yes,no,telephone,193,no
53,blue-collar,married,basic.4y,yes,no,telephone,136,no
38,unknown,divorced,high.school,yes,no,telephone,73,no
42,blue-collar,married,basic.4y,yes,no,telephone,528,no
42,blue-collar,married,basic.4y,no,no,telephone,541,no
35,admin.,single,high.school,yes,no,telephone,338,no
40,admin.,married,university.degree,yes,no,telephone,163,no
51,blue-collar,married,basic.4y,yes,no,telephone,87,no
60,blue-collar,married,basic.9y,no,no,telephone,301,no
56,entrepreneur,married,unknown,yes,no,telephone,46,no
39,services,divorced,high.school,yes,no,telephone,52,no
40,blue-collar,married,unknown,yes,yes,telephone,155,no
51,blue-collar,married,unknown,yes,no,telephone,71,no
51,blue-collar,married,unknown,no,no,telephone,243,no
43,technician,single,professional.course,yes,no,telephone,186,no
59,services,married,high.school,no,no,telephone,579,no
24,management,single,university.degree,yes,no,telephone,165,no
37,blue-collar,single,basic.9y,yes,yes,telephone,163,no
40,blue-collar,married,basic.9y,no,no,telephone,46,no
42,blue-collar,married,basic.9y,no,no,telephone,559,no
37,entrepreneur,married,basic.6y,no,no,telephone,85,no
38,services,married,high.school,yes,yes,telephone,506,no
56,admin.,divorced,unknown,no,no,telephone,114,no
40,blue-collar,married,unknown,no,no,telephone,114,no
54,management,divorced,university.degree,yes,no,telephone,843,no
36,services,married,high.school,no,no,telephone,427,no
42,admin.,single,university.degree,no,no,telephone,192,no
46,management,married,basic.9y,no,no,telephone,128,no
44,services,married,high.school,yes,yes,telephone,107,no
51,admin.,single,basic.6y,no,no,telephone,303,no
28,services,married,high.school,yes,no,telephone,81,no
37,blue-collar,married,basic.9y,no,no,telephone,270,no
34,technician,married,high.school,no,no,telephone,228,no
46,blue-collar,married,basic.6y,yes,no,telephone,240,no
36,admin.,married,university.degree,yes,no,telephone,233,no
54,blue-collar,married,basic.4y,no,no,telephone,102,no
57,management,married,university.degree,no,no,telephone,461,no
51,technician,married,basic.6y,no,no,telephone,250,no
54,retired,married,high.school,no,no,telephone,130,no
49,blue-collar,married,basic.4y,no,no,telephone,252,no
34,admin.,married,university.degree,yes,no,telephone,138,no
41,technician,married,professional.course,no,no,telephone,412,no
38,blue-collar,single,basic.9y,yes,no,telephone,179,no
42,technician,married,university.degree,no,no,telephone,228,no
34,blue-collar,single,basic.9y,yes,no,telephone,55,no
48,blue-collar,married,basic.4y,yes,no,telephone,717,no
37,admin.,married,high.school,yes,no,telephone,313,no
34,blue-collar,single,basic.9y,no,no,telephone,289,no
40,admin.,married,basic.9y,yes,no,telephone,683,no
43,blue-collar,married,basic.6y,yes,no,telephone,1077,no
33,services,married,high.school,no,no,telephone,146,no
32,services,single,basic.6y,no,no,telephone,167,no
43,admin.,married,unknown,no,no,telephone,277,no
44,blue-collar,married,basic.9y,yes,no,telephone,172,no
35,student,single,university.degree,no,no,telephone,218,no
35,student,single,university.degree,yes,yes,telephone,217,no
35,unemployed,married,professional.course,no,no,telephone,67,no
36,services,single,basic.4y,no,no,telephone,291,no
35,student,single,university.degree,yes,no,telephone,248,no
55,housemaid,divorced,university.degree,no,no,telephone,286,no
59,admin.,married,university.degree,no,no,telephone,477,no
57,retired,married,unknown,no,no,telephone,611,no
39,blue-collar,married,professional.course,yes,no,telephone,471,no
39,housemaid,married,basic.4y,yes,no,telephone,381,no
30,blue-collar,single,unknown,yes,no,telephone,251,no
30,blue-collar,single,unknown,yes,yes,telephone,408,no
50,housemaid,married,basic.4y,no,no,telephone,287,no
40,services,married,high.school,no,no,telephone,322,no
35,admin.,married,high.school,yes,no,telephone,216,no
43,technician,married,unknown,no,no,telephone,366,no
36,services,single,basic.6y,yes,no,telephone,210,no
46,technician,married,basic.4y,yes,no,telephone,288,no
40,technician,married,basic.9y,no,no,telephone,168,no
58,retired,married,university.degree,no,no,telephone,132,no
42,technician,married,university.degree,no,no,telephone,64,no
35,admin.,single,university.degree,no,no,telephone,209,no
45,blue-collar,married,basic.4y,yes,yes,telephone,177,no
39,admin.,married,professional.course,yes,no,telephone,580,no
50,services,divorced,professional.course,yes,no,telephone,165,no
32,management,divorced,basic.4y,yes,no,telephone,127,no
39,admin.,married,high.school,no,no,telephone,357,no
52,self-employed,married,university.degree,no,no,telephone,175,no
44,admin.,married,professional.course,yes,no,telephone,300,no
56,blue-collar,married,basic.4y,no,no,telephone,136,no
48,admin.,married,high.school,no,no,telephone,125,no
33,services,married,high.school,no,yes,telephone,189,no
43,management,married,university.degree,no,yes,telephone,213,no
57,retired,married,high.school,no,no,telephone,238,no
36,technician,single,professional.course,no,no,telephone,124,no
34,management,married,university.degree,yes,no,telephone,18,no
34,services,single,basic.9y,no,no,telephone,730,no
30,technician,married,university.degree,no,no,telephone,40,no
33,services,divorced,unknown,no,no,telephone,181,no
32,technician,single,professional.course,no,no,telephone,79,no
36,technician,single,high.school,yes,no,telephone,142,no
33,services,single,high.school,no,no,telephone,702,no
40,technician,divorced,professional.course,no,no,telephone,151,no
41,blue-collar,married,basic.4y,yes,no,telephone,211,no
51,services,married,basic.6y,yes,no,telephone,117,no
36,technician,married,professional.course,yes,no,telephone,232,no
28,services,married,unknown,no,no,telephone,408,no
53,services,married,high.school,yes,yes,telephone,370,no
58,blue-collar,married,basic.9y,yes,no,telephone,179,no
33,admin.,married,high.school,no,yes,telephone,181,no
27,blue-collar,single,basic.6y,unknown,unknown,telephone,119,no
42,technician,married,high.school,no,no,telephone,361,no
43,admin.,divorced,basic.9y,no,no,telephone,73,no
42,admin.,married,university.degree,no,no,telephone,67,no
27,blue-collar,single,basic.6y,no,no,telephone,350,no
34,self-employed,single,university.degree,yes,no,telephone,150,no
31,student,single,university.degree,no,no,telephone,332,no
54,management,divorced,university.degree,no,no,telephone,611,no
52,unemployed,married,high.school,yes,no,telephone,151,no
49,housemaid,married,basic.9y,no,no,telephone,152,no
32,admin.,single,high.school,no,no,telephone,611,no
49,housemaid,single,high.school,yes,yes,telephone,110,no
50,blue-collar,married,basic.9y,no,no,telephone,463,no
34,services,married,high.school,no,no,telephone,962,no
55,blue-collar,married,basic.4y,no,no,telephone,102,no
51,retired,married,professional.course,no,no,telephone,118,no
47,blue-collar,married,basic.6y,no,no,telephone,92,no
56,technician,married,basic.4y,yes,no,telephone,143,no
53,admin.,married,basic.9y,no,no,telephone,189,no
36,blue-collar,married,basic.9y,yes,no,telephone,75,no
42,blue-collar,divorced,basic.9y,yes,no,telephone,189,no
44,blue-collar,divorced,basic.6y,no,no,telephone,55,no
39,housemaid,married,basic.9y,yes,no,telephone,935,yes
37,admin.,single,high.school,yes,yes,telephone,56,no
36,services,married,high.school,no,no,telephone,225,no
42,management,divorced,university.degree,yes,no,telephone,125,no
31,admin.,married,high.school,yes,yes,telephone,286,no
53,technician,divorced,professional.course,no,yes,telephone,206,no
45,blue-collar,married,basic.4y,yes,no,telephone,164,no
37,technician,single,professional.course,yes,no,telephone,98,no
47,self-employed,married,professional.course,no,no,telephone,446,no
49,blue-collar,divorced,high.school,no,yes,telephone,742,no
35,services,divorced,high.school,no,no,telephone,122,no
38,unknown,married,unknown,no,no,telephone,362,no
38,services,single,high.school,no,no,telephone,357,no
59,retired,married,professional.course,no,no,telephone,107,no
43,unknown,married,unknown,yes,no,telephone,267,no
42,admin.,married,high.school,yes,no,telephone,248,no
40,admin.,married,basic.6y,yes,no,telephone,215,no
46,blue-collar,married,unknown,no,no,telephone,209,no
57,housemaid,divorced,basic.4y,yes,yes,telephone,205,no
42,admin.,married,university.degree,yes,no,telephone,261,no
41,blue-collar,married,basic.4y,yes,no,telephone,83,no
54,management,divorced,university.degree,yes,no,telephone,106,no
27,admin.,single,university.degree,no,no,telephone,106,no
36,admin.,married,high.school,no,no,telephone,108,no
58,blue-collar,married,professional.course,yes,no,telephone,214,no
40,management,married,university.degree,yes,no,telephone,358,no
34,admin.,single,basic.9y,no,no,telephone,453,no
33,admin.,divorced,high.school,no,no,telephone,364,no
42,blue-collar,married,basic.9y,no,no,telephone,173,no
43,services,married,high.school,yes,no,telephone,241,no
54,management,single,basic.9y,yes,no,telephone,224,no
53,admin.,single,basic.6y,yes,yes,telephone,148,no
42,technician,single,unknown,no,no,telephone,230,no
40,services,married,basic.6y,no,no,telephone,199,no
54,technician,married,professional.course,yes,yes,telephone,196,no
40,housemaid,single,professional.course,no,no,telephone,111,no
33,admin.,married,high.school,no,no,telephone,316,no
35,blue-collar,married,basic.9y,no,no,telephone,240,no
36,admin.,married,high.school,no,no,telephone,669,no
29,services,single,high.school,yes,no,telephone,425,no
36,blue-collar,married,basic.9y,yes,no,telephone,121,no
35,management,married,high.school,yes,no,telephone,174,no
50,self-employed,single,university.degree,no,yes,telephone,88,no
49,entrepreneur,married,high.school,yes,no,telephone,135,no
42,technician,single,professional.course,yes,no,telephone,152,no
36,blue-collar,single,high.school,yes,yes,telephone,402,no
55,blue-collar,married,basic.9y,yes,no,telephone,221,no
41,management,married,university.degree,no,no,telephone,213,no
57,management,married,professional.course,yes,no,telephone,144,no
32,services,single,high.school,yes,no,telephone,158,no
49,admin.,married,basic.9y,no,no,telephone,220,no
57,unknown,married,unknown,yes,no,telephone,325,no
52,technician,married,high.school,yes,no,telephone,503,no
50,services,divorced,professional.course,no,no,telephone,680,no
41,blue-collar,single,basic.9y,yes,no,telephone,421,no
33,entrepreneur,married,university.degree,yes,no,telephone,130,no
48,blue-collar,married,basic.6y,no,no,telephone,174,no
55,technician,married,professional.course,no,no,telephone,113,no
38,management,married,university.degree,no,no,telephone,195,no
53,admin.,married,university.degree,yes,no,telephone,208,no
43,unemployed,single,university.degree,no,no,telephone,404,no
36,blue-collar,single,high.school,no,no,telephone,396,no
33,services,married,basic.4y,no,no,telephone,229,no
58,entrepreneur,married,basic.4y,yes,no,telephone,350,no
40,unemployed,divorced,high.school,no,no,telephone,88,no
57,management,married,university.degree,yes,no,telephone,379,no
45,technician,married,high.school,yes,no,telephone,168,no
46,admin.,married,university.degree,yes,no,telephone,158,no
36,technician,married,university.degree,no,no,telephone,210,no
41,self-employed,married,high.school,yes,no,telephone,102,no
57,admin.,divorced,basic.9y,no,no,telephone,306,no
49,blue-collar,married,basic.9y,yes,no,telephone,64,no
56,management,divorced,high.school,no,no,telephone,218,no
37,blue-collar,married,basic.9y,no,no,telephone,77,no
22,blue-collar,single,basic.9y,yes,no,telephone,195,no
43,services,married,high.school,no,no,telephone,202,no
41,technician,married,basic.6y,yes,no,telephone,278,no
38,admin.,single,university.degree,no,no,telephone,189,no
49,admin.,married,university.degree,yes,yes,telephone,18,no
30,blue-collar,single,unknown,no,no,telephone,184,no
33,admin.,married,basic.9y,yes,no,telephone,235,no
30,student,single,unknown,no,no,telephone,133,no
59,management,married,basic.4y,yes,yes,telephone,318,no
59,management,married,basic.4y,unknown,unknown,telephone,437,no
41,self-employed,married,university.degree,no,no,telephone,402,no
48,housemaid,married,basic.6y,yes,yes,telephone,501,no
28,unknown,single,unknown,yes,yes,telephone,1201,yes
44,services,married,high.school,yes,no,telephone,1030,yes
50,management,married,high.school,no,no,telephone,149,no
35,admin.,married,university.degree,no,no,telephone,144,no
42,admin.,married,high.school,no,no,telephone,69,no
45,admin.,married,basic.9y,no,no,telephone,243,no
36,technician,married,professional.course,no,no,telephone,769,no
56,services,married,high.school,no,no,telephone,135,no
29,blue-collar,divorced,basic.4y,no,no,telephone,231,no
41,self-employed,married,university.degree,yes,yes,telephone,442,no
42,blue-collar,married,basic.9y,no,no,telephone,199,no
48,services,married,high.school,unknown,unknown,telephone,152,no
31,blue-collar,married,high.school,yes,no,telephone,124,no
43,unemployed,married,university.degree,yes,no,telephone,424,no
36,blue-collar,married,basic.4y,no,no,telephone,43,no
42,entrepreneur,married,university.degree,yes,no,telephone,154,no
52,services,divorced,basic.6y,no,no,telephone,393,no
39,admin.,married,high.school,yes,no,telephone,203,no
42,blue-collar,married,basic.9y,yes,no,telephone,326,no
41,admin.,married,high.school,no,no,telephone,483,no
55,technician,married,basic.4y,no,yes,telephone,259,no
30,blue-collar,married,basic.9y,no,no,telephone,227,no
45,entrepreneur,married,basic.4y,yes,no,telephone,576,no
51,blue-collar,married,basic.4y,yes,yes,telephone,180,no
39,self-employed,single,basic.9y,yes,yes,telephone,90,no
47,admin.,married,high.school,no,no,telephone,505,no
27,services,married,high.school,yes,no,telephone,245,no
34,technician,single,university.degree,yes,no,telephone,186,no
57,blue-collar,married,basic.4y,yes,no,telephone,208,no
43,entrepreneur,married,basic.4y,no,no,telephone,623,no
49,blue-collar,married,basic.4y,no,no,telephone,180,no
39,management,married,university.degree,no,no,telephone,496,no
38,blue-collar,married,basic.4y,yes,no,telephone,118,no
49,blue-collar,married,basic.9y,no,no,telephone,102,no
58,management,married,basic.6y,no,no,telephone,342,no
43,technician,married,professional.course,yes,no,telephone,225,no
50,unknown,married,unknown,yes,no,telephone,185,no
31,services,married,high.school,no,no,telephone,276,no
43,self-employed,divorced,university.degree,no,no,telephone,87,no
43,self-employed,married,basic.9y,no,no,telephone,744,no
27,services,single,professional.course,yes,yes,telephone,271,no
37,technician,married,professional.course,yes,no,telephone,198,no
46,housemaid,married,basic.9y,yes,no,telephone,150,no
35,blue-collar,married,professional.course,no,no,telephone,241,no
47,admin.,divorced,university.degree,no,no,telephone,196,no
46,management,married,unknown,yes,no,telephone,149,no
40,technician,married,professional.course,no,yes,telephone,264,no
26,housemaid,married,university.degree,no,no,telephone,246,no
32,blue-collar,divorced,basic.9y,no,no,telephone,309,no
45,management,married,university.degree,yes,no,telephone,140,no
34,admin.,married,basic.9y,no,no,telephone,175,no
47,blue-collar,married,unknown,no,no,telephone,136,no
42,technician,married,professional.course,no,no,telephone,1623,yes
57,technician,married,basic.4y,no,yes,telephone,50,no
57,technician,married,basic.4y,no,no,telephone,101,no
38,blue-collar,married,basic.4y,no,yes,telephone,144,no
57,technician,married,basic.4y,no,no,telephone,238,no
28,student,single,basic.9y,yes,no,telephone,354,no
60,management,married,university.degree,no,no,telephone,451,no
48,admin.,married,university.degree,yes,no,telephone,159,no
40,admin.,married,high.school,no,no,telephone,243,no
51,management,married,professional.course,yes,no,telephone,141,no
48,unemployed,single,basic.4y,yes,no,telephone,112,no
54,housemaid,married,basic.4y,no,no,telephone,262,no
44,admin.,single,basic.9y,no,no,telephone,134,no
42,technician,divorced,high.school,no,no,telephone,204,no
52,self-employed,married,university.degree,yes,no,telephone,678,no
31,blue-collar,single,basic.9y,yes,no,telephone,182,no
32,services,married,high.school,no,no,telephone,162,no
44,admin.,married,high.school,yes,yes,telephone,177,no
39,management,married,basic.6y,no,no,telephone,27,no
57,management,married,professional.course,yes,no,telephone,699,no
52,admin.,married,basic.4y,yes,no,telephone,358,no
42,management,married,university.degree,no,no,telephone,1677,yes
31,admin.,divorced,high.school,no,no,telephone,47,no
29,admin.,married,university.degree,yes,no,telephone,379,no
57,blue-collar,divorced,basic.4y,no,no,telephone,30,no
44,blue-collar,married,basic.9y,no,no,telephone,472,no
59,unknown,married,unknown,no,no,telephone,113,no
39,blue-collar,married,basic.4y,no,no,telephone,114,no
41,management,married,unknown,no,no,telephone,448,no
37,technician,single,high.school,no,yes,telephone,264,no
38,services,married,high.school,yes,no,telephone,169,no
42,retired,married,basic.4y,no,no,telephone,145,no
49,unknown,married,unknown,yes,no,telephone,288,no
54,management,married,basic.6y,yes,yes,telephone,381,no
36,admin.,married,university.degree,unknown,unknown,telephone,176,no
32,admin.,single,university.degree,no,no,telephone,215,no
45,housemaid,married,professional.course,no,no,telephone,188,no
56,technician,married,unknown,yes,no,telephone,174,no
41,unemployed,married,basic.9y,no,no,telephone,111,no
36,blue-collar,married,basic.9y,no,no,telephone,46,no
31,services,married,high.school,unknown,unknown,telephone,374,no
38,technician,married,professional.course,yes,no,telephone,349,no
35,admin.,divorced,university.degree,yes,no,telephone,325,no
53,admin.,married,professional.course,yes,no,telephone,233,no
56,entrepreneur,married,university.degree,no,no,telephone,153,no
33,admin.,married,basic.9y,unknown,unknown,telephone,80,no
33,admin.,married,basic.9y,no,no,telephone,198,no
51,services,divorced,high.school,yes,no,telephone,568,no
39,services,married,high.school,yes,no,telephone,918,yes
45,entrepreneur,married,university.degree,no,no,telephone,82,no
40,technician,single,university.degree,no,no,telephone,198,no
60,unknown,single,unknown,yes,no,telephone,211,no
33,technician,married,university.degree,yes,no,telephone,120,no
47,blue-collar,married,high.school,yes,no,telephone,269,no
48,blue-collar,married,basic.4y,no,no,telephone,128,no
43,entrepreneur,married,high.school,no,no,telephone,166,no
59,entrepreneur,married,high.school,yes,no,telephone,91,no
32,technician,married,unknown,yes,no,telephone,267,no
42,housemaid,single,basic.4y,yes,no,telephone,198,no
52,blue-collar,married,basic.4y,no,no,telephone,371,no
42,admin.,married,unknown,no,no,telephone,221,no
38,blue-collar,married,basic.9y,no,no,telephone,310,no
39,blue-collar,married,basic.6y,yes,no,telephone,158,no
39,blue-collar,married,basic.6y,no,no,telephone,198,no
38,admin.,married,high.school,no,no,telephone,145,no
47,admin.,single,unknown,yes,no,telephone,247,no
30,services,single,high.school,no,no,telephone,102,no
38,admin.,divorced,high.school,yes,yes,telephone,179,no
39,technician,divorced,university.degree,no,no,telephone,73,no
44,admin.,married,high.school,no,no,telephone,263,no
36,admin.,married,high.school,no,no,telephone,342,no
41,services,married,high.school,yes,yes,telephone,41,no
41,blue-collar,married,basic.6y,no,no,telephone,13,no
35,blue-collar,married,basic.9y,no,no,telephone,79,no
36,services,married,high.school,no,no,telephone,162,no
35,admin.,single,high.school,yes,yes,telephone,150,no
33,blue-collar,single,basic.4y,no,no,telephone,26,no
38,admin.,single,basic.6y,no,no,telephone,250,no
33,self-employed,married,university.degree,no,no,telephone,792,no
55,self-employed,married,unknown,no,no,telephone,146,no
36,blue-collar,single,basic.9y,no,no,telephone,440,no
57,technician,married,professional.course,no,yes,telephone,289,no
32,entrepreneur,single,university.degree,yes,no,telephone,242,no
30,self-employed,single,high.school,yes,no,telephone,123,no
43,admin.,married,professional.course,yes,yes,telephone,161,no
46,admin.,married,university.degree,no,no,telephone,268,no
34,admin.,single,university.degree,yes,yes,telephone,26,no
50,blue-collar,married,basic.4y,unknown,unknown,telephone,153,no
39,admin.,single,university.degree,no,no,telephone,424,no
39,blue-collar,married,basic.9y,no,no,telephone,375,no
42,entrepreneur,married,basic.6y,no,no,telephone,179,no
57,retired,married,university.degree,yes,no,telephone,383,no
45,blue-collar,married,basic.4y,no,no,telephone,440,no
40,technician,married,basic.4y,no,yes,telephone,195,no
42,blue-collar,married,high.school,no,yes,telephone,1297,yes
40,technician,married,basic.4y,no,no,telephone,217,no
38,blue-collar,single,basic.4y,no,no,telephone,87,no
39,blue-collar,married,basic.6y,yes,yes,telephone,427,no
41,blue-collar,married,basic.4y,no,no,telephone,189,no
39,blue-collar,married,basic.6y,yes,no,telephone,502,no
41,blue-collar,married,basic.4y,yes,yes,telephone,260,no
45,admin.,married,university.degree,no,no,telephone,209,no
35,admin.,divorced,university.degree,unknown,unknown,telephone,179,no
35,admin.,married,basic.6y,yes,no,telephone,179,no
49,blue-collar,married,high.school,no,no,telephone,69,no
36,technician,married,unknown,no,no,telephone,105,no
23,admin.,single,university.degree,no,no,telephone,266,no
49,entrepreneur,married,professional.course,unknown,unknown,telephone,524,no
36,technician,married,professional.course,unknown,unknown,telephone,155,no
51,blue-collar,married,basic.9y,yes,no,telephone,162,no
56,retired,married,basic.4y,yes,yes,telephone,316,no
42,admin.,married,high.school,no,no,telephone,695,no
41,admin.,divorced,high.school,no,no,telephone,76,no
32,services,married,high.school,no,yes,telephone,535,no
46,management,married,university.degree,no,no,telephone,310,no
37,blue-collar,married,unknown,no,no,telephone,390,no
53,management,married,university.degree,no,no,telephone,369,no
30,blue-collar,married,basic.4y,no,no,telephone,112,no
45,unknown,married,unknown,no,no,telephone,79,no
24,technician,single,professional.course,no,yes,telephone,140,no
45,unknown,married,unknown,no,no,telephone,315,no
34,admin.,single,university.degree,no,yes,telephone,262,no
41,management,married,university.degree,no,no,telephone,174,no
59,blue-collar,married,basic.4y,yes,no,telephone,424,no
45,blue-collar,married,basic.4y,no,no,telephone,135,no
54,blue-collar,married,basic.6y,no,no,telephone,36,no
32,technician,married,professional.course,no,no,telephone,1906,no
32,admin.,married,university.degree,no,no,telephone,135,no
34,services,single,high.school,unknown,unknown,telephone,147,no
46,management,married,university.degree,no,no,telephone,407,no
57,technician,married,professional.course,yes,no,telephone,402,no
42,technician,married,basic.9y,no,no,telephone,209,no
48,admin.,married,professional.course,yes,no,telephone,92,no
58,admin.,divorced,university.degree,yes,no,telephone,208,no
34,services,married,high.school,no,no,telephone,193,no
32,admin.,single,university.degree,yes,yes,telephone,65,no
48,blue-collar,married,basic.9y,no,no,telephone,284,no
47,blue-collar,married,basic.9y,no,no,telephone,285,no
31,services,married,high.school,no,no,telephone,231,no
